City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pedernales,18.0384,-71.744,24.81,73,20,1.9,DO,1678151606
1,khatanga,71.9667,102.5,-33.15,100,99,1.23,RU,1678151297
2,mataura,-46.1927,168.8643,21.38,32,16,1.8,NZ,1678151214
3,cape town,-33.9258,18.4232,19.1,70,0,7.15,ZA,1678151202
4,hirara,24.8,125.2833,21.15,43,20,4.63,JP,1678151607
5,ostrovnoy,68.0531,39.5131,-12.47,90,100,4.91,RU,1678151608
6,hobart,-42.8794,147.3294,18.48,48,75,11.32,AU,1678151609
7,saint-philippe,-21.3585,55.7679,24.77,87,95,4.65,RE,1678151232
8,mtimbira,-8.7833,36.35,21.43,91,87,1.02,TZ,1678151610
9,kisarawe,-6.9,39.0667,23.16,84,100,2.31,TZ,1678151611
10,rocha,-34.4833,-54.3333,18.05,95,12,2.82,UY,1678151337
11,severo-yeniseyskiy,60.3725,93.0408,-6.6,93,100,5.28,RU,1678151612
12,punta arenas,-53.15,-70.9167,6.06,81,20,3.09,CL,1678151081
13,nome,64.5011,-165.4064,1.2,100,100,5.66,US,1678151083
14,atuona,-9.8,-139.0333,26.92,77,20,5.0,PF,1678151235
15,tiksi,71.6872,128.8694,-23.92,93,100,2.59,RU,1678151213
16,yellowknife,62.456,-114.3525,-23.71,70,40,3.6,CA,1678151125
17,lebu,-37.6167,-73.65,14.97,96,57,3.12,CL,1678150933
18,mirador,-6.3708,-44.3631,23.54,92,73,1.05,BR,1678151617
19,dikson,73.5069,80.5464,-28.94,98,100,5.79,RU,1678151252
20,albany,42.6001,-73.9662,2.36,48,82,4.08,US,1678151086
21,stornoway,58.2093,-6.3865,-0.02,93,75,3.09,GB,1678151439
22,mahebourg,-20.4081,57.7,24.58,82,97,3.84,MU,1678151619
23,ushuaia,-54.8,-68.3,3.3,89,30,3.91,AR,1678151231
24,vila franca do campo,37.7167,-25.4333,17.23,95,100,10.09,PT,1678151620
25,kapaa,22.0752,-159.319,27.18,58,0,9.26,US,1678151211
26,luanda,-8.8368,13.2343,26.0,78,75,2.57,AO,1678151621
27,leningradskiy,69.3833,178.4167,-29.03,92,10,0.61,RU,1678151207
28,pisco,-13.7,-76.2167,24.03,78,0,8.23,PE,1678151149
29,tuktoyaktuk,69.4541,-133.0374,-28.69,97,8,3.42,CA,1678151210
30,torbay,47.6666,-52.7314,-1.45,90,100,3.09,CA,1678151000
31,arman,59.7,150.1667,-16.66,88,99,0.78,RU,1678151306
32,esperance,-33.8667,121.9,17.52,49,31,3.48,AU,1678151327
33,namwala,-15.7504,26.4384,18.14,96,100,1.42,ZM,1678151625
34,chateauroux,46.8167,1.7,3.0,70,100,3.09,FR,1678151625
35,kaitangata,-46.2817,169.8464,18.36,53,98,3.04,NZ,1678151447
36,santa maria,-29.6842,-53.8069,20.66,97,95,2.25,BR,1678151607
37,rikitea,-23.1203,-134.9692,26.93,77,100,9.85,PF,1678151206
38,shieli,44.1667,66.75,11.53,65,100,7.06,KZ,1678151627
39,ngunguru,-35.6167,174.5,20.46,67,72,2.47,NZ,1678151628
40,touros,-5.1989,-35.4608,26.52,75,82,5.76,BR,1678151290
41,ola,59.5833,151.2833,-16.03,84,95,0.47,RU,1678151629
42,conakry,9.538,-13.6773,25.92,70,100,2.89,GN,1678151629
43,flin flon,54.7682,-101.865,-21.42,97,100,1.59,CA,1678151630
44,arraial do cabo,-22.9661,-42.0278,24.72,90,8,9.92,BR,1678151217
45,butaritari,3.0707,172.7902,26.59,81,100,3.83,KI,1678151287
46,puerto cabezas,14.0351,-83.3888,24.17,79,22,4.3,NI,1678151632
47,mehamn,71.0357,27.8492,-11.03,67,75,4.63,NO,1678151632
48,san ramon de la nueva oran,-23.1322,-64.326,32.46,81,100,3.47,AR,1678151438
49,mobaye,4.319,21.1786,25.88,44,100,1.12,CF,1678151633
50,katsuura,35.1333,140.3,13.6,60,4,1.12,JP,1678151310
51,ilulissat,69.2167,-51.1,-6.99,73,5,1.54,GL,1678151262
52,jamestown,42.097,-79.2353,0.85,100,100,4.12,US,1678151043
53,ribeira grande,38.5167,-28.7,16.54,88,20,9.83,PT,1678151220
54,roald,62.5833,6.1333,-1.8,93,100,1.54,NO,1678151572
55,meulaboh,4.1363,96.1285,24.56,86,3,1.24,ID,1678151422
56,caravelas,-17.7125,-39.2481,24.79,90,89,3.82,BR,1678151637
57,sechura,-5.5569,-80.8222,25.6,77,100,4.34,PE,1678151637
58,saint-pierre,-21.3393,55.4781,25.32,88,100,2.06,RE,1678151217
59,lopukhiv,48.3653,23.9638,-1.25,96,100,1.63,UA,1678151638
60,bluff,-46.6,168.3333,21.56,57,98,1.96,NZ,1678151240
61,buala,-8.145,159.5921,28.19,79,44,3.4,SB,1678151640
62,klaksvik,62.2266,-6.589,-2.49,60,100,13.71,FO,1678151060
63,hasaki,35.7333,140.8333,15.16,60,6,2.09,JP,1678151492
64,kloulklubed,7.0419,134.2556,26.28,79,100,6.42,PW,1678151479
65,new norfolk,-42.7826,147.0587,18.29,51,95,4.47,AU,1678151441
66,thompson,55.7435,-97.8558,-21.99,98,100,1.63,CA,1678151643
67,hermanus,-34.4187,19.2345,18.22,82,5,6.77,ZA,1678151276
68,shingu,33.7333,135.9833,16.17,34,0,0.26,JP,1678151644
69,husavik,66.0449,-17.3389,-4.98,71,100,6.73,IS,1678151256
70,san patricio,28.017,-97.5169,24.54,79,0,5.51,US,1678151438
71,florianopolis,-27.6146,-48.5012,23.57,97,75,2.57,BR,1678151508
72,kodinar,20.7903,70.7031,23.59,47,3,2.36,IN,1678151646
73,tongren,27.7172,109.1853,16.31,91,99,0.19,CN,1678151647
74,am timan,11.0297,20.2827,29.18,10,100,4.2,TD,1678151648
75,qaanaaq,77.484,-69.3632,-8.47,88,99,3.06,GL,1678151264
76,bredasdorp,-34.5322,20.0403,17.88,76,97,5.4,ZA,1678151259
77,mtwara,-10.2667,40.1833,26.63,76,100,5.04,TZ,1678151650
78,lavrentiya,65.5833,-171.0,-9.03,94,100,3.06,RU,1678151281
79,georgetown,5.4112,100.3354,26.96,76,20,3.09,MY,1678151075
80,port hedland,-20.3167,118.5667,32.03,58,8,3.09,AU,1678151518
81,zyryanka,65.75,150.85,-24.36,78,100,0.75,RU,1678151652
82,hilo,19.7297,-155.09,27.93,71,40,2.57,US,1678151229
83,tasiilaq,65.6145,-37.6368,-5.91,86,15,5.83,GL,1678150998
84,carutapera,-1.195,-46.02,24.32,95,100,2.66,BR,1678151557
85,busselton,-33.65,115.3333,18.12,53,0,6.37,AU,1678151202
86,sangueya,10.7,-14.3667,22.44,78,100,0.93,GN,1678151655
87,saryozek,44.3583,77.9753,3.28,85,75,2.69,KZ,1678151656
88,vardo,70.3705,31.1107,-9.01,79,100,7.2,NO,1678151559
89,upington,-28.4478,21.2561,19.97,28,0,4.38,ZA,1678151657
90,najran,17.4924,44.1277,16.6,32,0,0.94,SA,1678151560
91,bethel,41.3712,-73.414,6.17,36,0,2.06,US,1678151289
92,anadyr,64.75,177.4833,-28.72,68,0,6.0,RU,1678151143
93,tiarei,-17.5333,-149.3333,27.01,90,100,9.11,PF,1678151375
94,wonthaggi,-38.6044,145.5913,18.23,63,87,10.24,AU,1678151659
95,mount isa,-20.7333,139.5,23.87,94,100,4.63,AU,1678151448
96,provideniya,64.3833,-173.3,-5.91,86,100,2.0,RU,1678151215
97,gat,31.61,34.7642,13.55,79,48,1.03,IL,1678151562
98,khorramabad,33.4878,48.3558,10.79,87,75,0.0,IR,1678151661
99,port alfred,-33.5906,26.891,17.32,94,29,1.34,ZA,1678151318
100,saint-georges,12.0564,-61.7485,25.35,74,78,5.58,GD,1678151364
101,sicuani,-14.2694,-71.2261,8.17,87,100,1.22,PE,1678151663
102,dauphin,51.1494,-100.0502,-21.3,99,14,0.73,CA,1678151664
103,yining,29.0361,114.5636,19.21,40,47,0.69,CN,1678151665
104,adrar,20.5022,-10.0711,23.08,11,100,3.73,MR,1678151531
105,yalutorovsk,56.6536,66.3006,-15.36,98,50,2.29,RU,1678151666
106,vaini,-21.2,-175.2,26.39,68,66,6.8,TO,1678151221
107,camacha,33.0833,-16.3333,16.68,94,40,4.12,PT,1678151667
108,airai,-8.9266,125.4092,20.63,69,100,1.31,TL,1678151236
109,olafsvik,64.8945,-23.7142,-2.91,61,100,5.51,IS,1678151668
110,egvekinot,66.3167,-179.1667,-21.38,87,16,2.73,RU,1678151669
111,carnarvon,-24.8667,113.6333,27.88,54,0,6.34,AU,1678151285
112,tripoli,32.8752,13.1875,18.37,48,100,7.12,LY,1678151670
113,guamal,9.1433,-74.2238,27.38,73,69,3.02,CO,1678151396
114,oistins,13.0667,-59.5333,24.96,75,84,6.09,BB,1678151403
115,altamira,-3.2033,-52.2064,23.18,98,98,1.03,BR,1678151671
116,bambous virieux,-20.3428,57.7575,24.56,82,93,3.53,MU,1678151267
117,kununurra,-15.7667,128.7333,30.99,55,100,3.6,AU,1678151672
118,tevriz,57.509,72.4042,-4.44,91,97,4.27,RU,1678151673
119,bilibino,68.0546,166.4372,-26.35,88,6,0.91,RU,1678151674
120,narsaq,60.9167,-46.05,2.12,83,11,2.21,GL,1678150997
121,zhigansk,66.7697,123.3711,-29.87,97,46,1.99,RU,1678151675
122,clyde river,70.4692,-68.5914,-13.5,94,34,0.76,CA,1678151433
123,ilhabela,-23.7781,-45.3581,24.61,84,12,2.6,BR,1678151356
124,dunedin,-45.8742,170.5036,17.76,61,100,5.79,NZ,1678151503
125,zabol,32.25,67.25,8.29,58,0,2.0,AF,1678151677
126,verbilki,56.5333,37.6,-9.59,94,100,3.36,RU,1678151678
127,fort nelson,58.8053,-122.7002,-13.28,89,100,2.16,CA,1678151678
128,ponta delgada,37.7333,-25.6667,17.4,94,75,10.8,PT,1678151301
129,buchanan,5.8808,-10.0467,26.18,91,100,2.6,LR,1678151573
130,san policarpo,12.1791,125.5072,26.21,83,4,5.74,PH,1678151680
131,akdepe,42.0551,59.3788,18.05,24,100,7.75,TM,1678151681
132,kruisfontein,-34.0033,24.7314,17.16,86,100,1.47,ZA,1678151437
133,khash,28.2211,61.2158,14.46,33,0,0.23,IR,1678151682
134,cidreira,-30.1811,-50.2056,23.6,91,68,5.07,BR,1678150998
135,faanui,-16.4833,-151.75,25.87,78,100,6.03,PF,1678151388
136,itarema,-2.9248,-39.9167,26.38,81,100,5.76,BR,1678151444
137,vanavara,60.34,102.2797,-17.48,99,100,1.95,RU,1678151683
138,port hawkesbury,45.6169,-61.3485,-1.57,92,100,0.45,CA,1678151684
139,cascais,38.6979,-9.4215,14.73,90,100,8.94,PT,1678151685
140,geraldton,-28.7667,114.6,26.23,31,0,6.17,AU,1678151442
141,wakkanai,45.4094,141.6739,3.99,81,75,7.2,JP,1678151686
142,byron bay,-28.65,153.6167,33.17,54,0,6.35,AU,1678151349
143,aykhal,66.0,111.5,-30.28,99,91,2.76,RU,1678151687
144,juneau,58.3019,-134.4197,-3.0,100,75,5.14,US,1678151410
145,marsh harbour,26.5412,-77.0636,23.96,76,75,5.07,BS,1678151688
146,port elizabeth,-33.918,25.5701,18.39,95,88,0.45,ZA,1678151378
147,ust-kuyga,70.0167,135.6,-22.28,98,100,0.53,RU,1678151689
148,kavieng,-2.5744,150.7967,27.92,73,68,1.48,PG,1678151414
149,inirida,3.8653,-67.9239,23.71,93,100,0.58,CO,1678151504
150,ancud,-41.8697,-73.8203,12.05,91,100,1.06,CL,1678151223
151,mar del plata,-38.0023,-57.5575,25.05,74,0,2.24,AR,1678151204
152,salamiyah,35.0113,37.0532,8.64,88,0,5.09,SY,1678151692
153,praya,14.9215,-23.5087,21.3,78,20,4.63,CV,1678151693
154,norman wells,65.282,-126.8329,-17.9,95,100,0.15,CA,1678151467
155,nikolskoye,59.7035,30.7861,-6.22,98,98,1.24,RU,1678151391
156,bucerias,20.75,-105.3333,23.88,68,0,3.09,MX,1678151534
157,barrow,71.2906,-156.7887,-8.99,79,0,8.75,US,1678150918
158,yaan,7.3833,8.5667,26.95,71,79,4.27,NG,1678151695
159,maxixe,-23.8597,35.3472,23.06,92,8,3.52,MZ,1678151696
160,talnakh,69.4865,88.3972,-26.72,95,98,2.58,RU,1678151222
161,tacna,-18.0056,-70.2483,23.11,60,0,0.51,PE,1678151697
162,shelburne,44.0787,-80.2041,-0.69,67,100,3.1,CA,1678151697
163,bwanga,-3.0308,31.7601,17.68,95,100,2.32,TZ,1678151698
164,bantry,51.6833,-9.45,6.55,85,100,3.13,IE,1678151699
165,lagoa,39.05,-27.9833,16.03,82,98,14.28,PT,1678151380
166,sangar,63.9242,127.4739,-21.45,97,98,0.81,RU,1678151347
167,puerto ayora,-0.7393,-90.3518,25.86,90,95,2.68,EC,1678151700
168,sao filipe,14.8961,-24.4956,22.66,75,0,0.73,CV,1678151258
169,kahului,20.8947,-156.47,25.54,85,100,9.26,US,1678151255
170,sao felix do xingu,-6.6447,-51.995,22.72,97,39,0.76,BR,1678151514
171,luquillo,18.3725,-65.7166,25.97,65,100,1.54,PR,1678151703
172,hithadhoo,-0.6,73.0833,27.74,68,0,0.75,MV,1678151272
173,bengkulu,-3.8004,102.2655,24.66,84,46,1.86,ID,1678151253
174,ossora,59.2353,163.0719,-7.92,85,100,1.91,RU,1678151705
175,iisalmi,63.5592,27.1907,-16.65,100,99,1.11,FI,1678151705
176,hami,42.8,93.45,7.15,37,6,3.22,CN,1678151219
177,ponta do sol,32.6667,-17.1,20.0,93,18,2.74,PT,1678151273
178,shaowu,27.3409,117.4831,17.0,46,3,1.29,CN,1678151708
179,karasburg,-28.0167,18.75,15.86,66,0,3.74,NA,1678151708
180,koudougou,12.25,-2.3667,29.57,11,100,5.24,BF,1678151709
181,kogon,39.7228,64.5517,11.02,71,0,3.09,UZ,1678151710
182,suoyarvi,62.0833,32.35,-17.3,100,100,1.29,RU,1678151711
183,furukawa,38.5717,140.9556,10.86,44,100,1.56,JP,1678151711
184,maracaju,-21.6144,-55.1683,25.77,71,71,0.21,BR,1678151713
185,palmer,42.1584,-72.3287,4.23,40,75,6.69,US,1678151666
186,pangody,65.85,74.4859,-17.39,97,100,4.1,RU,1678151714
187,fortuna,40.5982,-124.1573,8.14,85,75,1.79,US,1678151578
188,malanje,-9.5402,16.341,17.99,81,89,1.05,AO,1678151716
189,tefe,-3.3542,-64.7114,23.34,98,100,1.16,BR,1678151717
190,naze,28.3667,129.4833,17.51,50,2,2.54,JP,1678151387
191,tazovskiy,67.4667,78.7,-19.42,98,100,2.34,RU,1678151719
192,high level,58.5169,-117.136,-17.78,95,100,2.52,CA,1678151398
193,cabedelo,-6.9811,-34.8339,27.37,79,76,5.82,BR,1678151576
194,luderitz,-26.6481,15.1594,16.17,81,0,7.4,NA,1678151241
195,nanortalik,60.1432,-45.2371,-2.18,82,3,2.0,GL,1678151309
196,uyuni,-20.4597,-66.825,15.47,43,94,4.91,BO,1678151722
197,korla,41.7597,86.1469,6.26,46,100,0.34,CN,1678151723
198,cabo san lucas,22.8909,-109.9124,24.78,58,35,5.65,MX,1678151118
199,daru,-9.0763,143.2092,29.93,63,21,5.03,PG,1678151396
200,natal,-5.795,-35.2094,25.36,88,40,2.57,BR,1678151726
201,turukhansk,65.8167,87.9833,-16.35,86,100,5.88,RU,1678151727
202,awjilah,29.1081,21.2869,13.98,43,0,2.37,LY,1678151728
203,singaparna,-7.3515,108.111,24.91,76,18,0.35,ID,1678151729
204,dingle,10.9995,122.6711,26.6,75,17,6.17,PH,1678151729
205,constitucion,-35.3333,-72.4167,14.19,94,50,3.27,CL,1678151225
206,uruzgan,32.8333,66.0,8.71,53,0,3.59,AF,1678151730
207,saint-augustin,51.226,-58.6502,1.69,98,100,6.88,CA,1678151275
208,walvis bay,-22.9575,14.5053,15.61,90,7,2.9,NA,1678151731
209,mastic beach,40.7668,-72.8521,7.44,42,0,3.09,US,1678151723
210,castro,-24.7911,-50.0119,16.67,96,100,0.79,BR,1678151218
211,lufilufi,-13.8745,-171.5986,30.44,77,100,8.23,WS,1678151737
212,takapau,-40.0333,176.35,19.58,44,0,1.79,NZ,1678151741
213,ca mau,9.1769,105.15,25.97,61,11,4.67,VN,1678151516
214,saskylakh,71.9167,114.0833,-33.05,100,98,2.03,RU,1678151208
215,silute,55.3489,21.4831,-1.6,84,100,2.54,LT,1678151746
216,oil city,41.4339,-79.7064,4.67,94,100,5.66,US,1678151747
217,srandakan,-7.9386,110.2506,26.46,79,6,1.92,ID,1678151749
218,gasa,31.5,34.4667,14.18,70,73,2.04,PS,1678151749
219,kisangani,0.5167,25.2,22.44,79,100,0.87,CD,1678151750
220,chuy,-33.6971,-53.4616,21.86,92,100,4.95,UY,1678151261
221,chumikan,54.7183,135.315,-8.97,87,100,5.42,RU,1678151751
222,abu kamal,34.4506,40.9171,14.17,59,85,6.06,SY,1678151400
223,hambantota,6.1241,81.1185,24.19,100,20,1.03,LK,1678151752
224,jasper,37.2001,-94.3502,15.93,60,40,4.12,US,1678151123
225,vestmannaeyjar,63.4427,-20.2734,-3.65,54,98,5.22,IS,1678151501
226,ewa beach,21.3156,-158.0072,27.97,55,40,6.69,US,1678151753
227,port lincoln,-34.7333,135.8667,17.79,58,99,7.72,AU,1678151754
228,eufaula,31.8913,-85.1455,22.96,67,0,1.54,US,1678151494
229,punta gorda,26.9298,-82.0454,26.03,81,0,5.36,US,1678151494
230,nadym,65.5333,72.5167,-18.59,96,100,5.84,RU,1678151756
231,chokurdakh,70.6333,147.9167,-37.49,99,100,1.81,RU,1678151327
232,betafo,-19.8333,46.85,16.38,93,100,2.54,MG,1678151757
233,avarua,-21.2078,-159.775,31.03,74,75,7.72,CK,1678151292
234,huilong,31.8111,121.655,14.96,65,100,5.23,CN,1678151758
235,kodiak,57.79,-152.4072,4.73,70,0,1.54,US,1678151239
236,oranjestad,12.524,-70.027,25.43,81,17,8.76,AW,1678151221
237,sitka,57.0531,-135.33,0.94,27,0,3.09,US,1678151290
238,okhotsk,59.3833,143.3,-17.83,78,52,1.88,RU,1678151445
239,tuatapere,-46.1333,167.6833,21.21,46,76,2.49,NZ,1678151246
240,morshansk,53.4435,41.8107,-10.64,95,14,2.91,RU,1678151761
241,souillac,-20.5167,57.5167,24.53,87,90,2.27,MU,1678151205
242,nalut,30.3333,10.85,14.81,23,45,3.84,LY,1678151762
243,kirakira,-10.4544,161.9205,28.32,75,100,0.77,SB,1678151434
244,severo-kurilsk,50.6789,156.125,0.6,91,100,4.06,RU,1678151401
245,shenjiamen,29.9576,122.298,12.96,82,100,7.44,CN,1678151763
246,victoria,22.2855,114.1577,21.25,52,9,4.92,HK,1678150966
247,skovorodino,53.9833,123.9167,-10.06,77,38,0.9,RU,1678151764
248,raduzhnyy,62.0961,77.475,-10.33,95,91,4.37,RU,1678151765
249,niksic,42.7731,18.9445,7.6,99,99,1.24,ME,1678151766
250,deputatskiy,69.3,139.9,-22.18,95,100,0.7,RU,1678151767
251,upernavik,72.7868,-56.1549,-10.08,91,33,3.5,GL,1678151209
252,roebourne,-20.7833,117.1333,31.55,61,1,2.03,AU,1678151768
253,krasnoselkup,65.7,82.4667,-13.07,95,100,5.16,RU,1678151530
254,pandan,14.0453,124.1694,25.2,84,22,6.27,PH,1678151769
255,lima,-12.0432,-77.0282,26.61,68,0,4.63,PE,1678151417
256,caborca,30.5838,-111.101,19.86,23,100,1.99,MX,1678151567
257,pevek,69.7008,170.3133,-31.09,92,8,0.71,RU,1678151382
258,milkovo,54.7167,158.6167,-4.02,84,39,1.26,RU,1678151499
259,la libertad,-2.2333,-80.9,24.07,89,100,1.23,EC,1678151771
260,coihaique,-45.5752,-72.0662,9.97,76,75,2.57,CL,1678151107
261,iskateley,67.6803,53.1512,-28.6,100,81,2.16,RU,1678151772
262,baiyin,36.5583,104.2081,7.1,25,100,0.99,CN,1678151773
263,omsukchan,62.5333,155.8,-20.56,92,100,1.36,RU,1678151773
264,butiama,-1.7667,33.9667,17.34,68,11,1.85,TZ,1678151774
265,yenagoa,4.9247,6.2642,24.85,93,100,1.55,NG,1678151775
266,canandaigua,42.8742,-77.288,2.46,75,100,1.4,US,1678151776
267,muyezerskiy,63.9333,31.65,-12.31,96,100,1.51,RU,1678151776
268,whitehorse,60.7161,-135.0538,-11.06,70,100,2.24,CA,1678151650
269,gadung,6.8025,124.02,28.32,71,5,1.45,PH,1678151778
270,teloloapan,18.35,-99.85,22.73,30,75,1.64,MX,1678151778
271,marawi,7.9986,124.2928,23.36,80,32,2.08,PH,1678151780
272,turayf,31.6725,38.6637,9.05,60,100,3.29,SA,1678151781
273,roros,62.5747,11.3842,-13.09,78,100,4.12,NO,1678151782
274,ternate,0.8,127.4,27.76,77,51,3.73,ID,1678151782
275,moindou,-21.6924,165.677,28.25,58,18,2.51,NC,1678151783
276,savannah bight,16.45,-85.85,26.06,78,30,8.87,HN,1678151784
277,paracuru,-3.41,-39.0306,28.39,87,100,5.75,BR,1678151785
278,bor,56.3567,44.0669,-4.04,99,94,2.32,RU,1678151785
279,dovers,12.8833,-61.1833,25.51,75,73,6.39,VC,1678151786
280,saint-paul,-21.0096,55.2707,25.56,97,100,0.89,RE,1678151787
281,goundam,16.4145,-3.6708,24.95,10,95,4.34,ML,1678151788
282,juegang,32.3174,121.1855,14.27,52,100,4.63,CN,1678151788
283,north bend,43.4065,-124.2243,6.8,87,100,3.09,US,1678151736
284,puri,19.8,85.85,24.29,75,4,2.73,IN,1678151398
285,tilichiki,60.4667,166.1,-9.64,93,100,4.25,RU,1678151556
286,east london,-33.0153,27.9116,20.43,77,13,4.7,ZA,1678151204
287,puerto colombia,10.9878,-74.9547,26.05,84,33,13.61,CO,1678151791
288,plettenberg bay,-34.0527,23.3716,17.27,87,96,3.19,ZA,1678151792
